name,Current_Price
20MICRONS,226.7
21STCENMGM,71.02
360ONE,999.95
3IINFOLTD,24.9
3MINDIA,29230
3PLAND,48.05
5PAISA,409.4
63MOONS,857.3
A2ZINFRA,16.99
AAATECH,88
AADHARHFC,443.5
AAKASH,8.35
AAREYDRUGS,53.45
AARON,396
AARTECH,57.7
AARTIDRUGS,446.45
AARTIIND,468.85
AARTIPHARM,905
AARTISURF,562.1
AARVEEDEN,131.6
AARVI,118.93
AAVAS,1844
ABAN,46.8
ABB,5959
ABBOTINDIA,30620
ABCAPITAL,222
ABDL,399.5
ABFRL,85.85
ABINFRA,139.26
ABMINTLLTD,47.7
ABREL,2142.8
ABSLAMC,742.2
ACC,1877.4
ACCELYA,1390
ACCURACY,8.64
ACE,1248.5
ACEINTEG,26.38
ACI,620
ACL,64.5
ACLGATI,68.4
ACMESOLAR,261.7
ADANIENSOL,867.8
ADANIENT,2518
ADANIGREEN,1016
ADANIPORTS,1432.3
ADANIPOWER,543.9
ADFFOODS,234.65
ADL,89
ADOR,972.65
ADROITINFO,11.29
ADSL,219.99
ADVANIHOTR,61.51
ADVENZYMES,306
AEGISLOG,794.6
AEROFLEX,165.87
AETHER,745
AFCONS,422.4
AFFLE,1760
AFFORDABLE,397
AFIL,8.04
AFSL,212.57
AGARIND,970
AGARWALEYE,329
AGI,842
AGIIL,848.95
AGRITECH,161.25
AGROPHOS,33.4
AGSTRA,5.39
AHLADA,68.9
AHLEAST,144.98
AHLUCONT,974.35
AIAENG,3482.1
AIIL,2378
AIRAN,26.99
AIROLAM,94.35
AJANTPHARM,2510
AJAXENGG,653.75
AJMERA,848
AJOONI,5.89
AKASH,29.14
AKG,15.39
AKI,7.83
AKSHAR,0.61
AKSHARCHEM,246.22
AKSHOPTFBR,9.08
AKUMS,569.5
AKZOINDIA,3350
ALANKIT,14.35
ALBERTDAVD,801
ALEMBICLTD,110.5
ALICON,899.5
ALIVUS,1036
ALKALI,103
ALKEM,5102.5
ALKYLAMINE,1950
ALLCARGO,30.54
ALLDIGI,915.7
ALMONDZ,20.54
ALOKINDS,19.7
ALPA,98.8
ALPHAGEO,256.64
ALPSINDUS,2.26
AMBER,6474
AMBICAAGAR,31
AMBIKCO,1482
AMBUJACEM,551.6
AMDIND,50
AMIORG,1178
AMJLAND,57
AMNPLST,224.1
AMRUTANJAN,711.75
ANANDRATHI,1880
ANANTRAJ,561
ANDHRAPAP,77.1
ANDHRSUGAR,74.12
ANGELONE,3035
ANIKINDS,110.9
ANKITMETAL,2.3
ANMOL,17.64
ANSALAPI,3.81
ANTGRAPHIC,1.06
ANUHPHR,210.6
ANUP,2784
ANURAS,1005.75
APARINDS,8105
APCL,139.18
APCOTEXIND,364
APEX,230.25
APLAPOLLO,1800
APLLTD,1018.9
APOLLO,187.68
APOLLOHOSP,6886
APOLLOPIPE,455.3
APOLLOTYRE,470.5
APOLSINHOT,1321.1
APTECHT,161
APTUS,339.45
ARCHIDPLY,95.5
ARCHIES,21
ARE&M,1032.5
ARENTERP,50
ARIES,297.95
ARIHANTCAP,69.53
ARIHANTSUP,366
ARKADE,184
ARMANFIN,1600
AROGRANITE,41.19
ARROWGREEN,638
ARSHIYA,2.8
ARTEMISMED,278.15
ARTNIRMAN,48.65
ARVEE,184.95
ARVIND,359.2
ARVINDFASN,459.5
ARVSMART,673.95
ASAHIINDIA,751
ASAHISONG,423
ASAL,483
ASALCBR,1090
ASHAPURMIN,422.5
ASHIANA,317
ASHIMASYN,31.12
ASHOKA,219.6
ASHOKAMET,17.82
ASHOKLEY,236.1
ASIANENE,310.2
ASIANHOTNR,384.75
ASIANPAINT,2261
ASIANTILES,59.65
ASKAUTOLTD,450
ASMS,15
ASPINWALL,282
ASTEC,672
ASTERDM,561
ASTRAL,1500.1
ASTRAMICRO,1094
ASTRAZEN,7980
ASTRON,20.51
ATALREAL,15.95
ATAM,101.3
ATGL,681.4
ATHERENERG,312.4
ATL,28.88
ATLANTAA,37.31
ATLASCYCLE,159.5
ATUL,7115
ATULAUTO,486.9
AUBANK,694
AURIONPRO,1330
AUROPHARMA,1150
AURUM,202.5
AUSOMENT,116.48
AUTOAXLES,1754.4
AUTOIND,89.62
AVADHSUGAR,532
AVALON,860
AVANTEL,140.75
AVANTIFEED,840.7
AVG,289
AVL,406
AVONMORE,21.5
AVROIND,181
AVTNPL,65.5
AWFIS,646
AWHCL,622.9
AWL,267.9
AXISBANK,1192
AXISCADES,1039.5
AXITA,9.51
AYMSYNTEX,228.34
AZAD,1782.9
BAFNAPH,74.98
BAGFILMS,7.1
BAIDFIN,10.69
BAJAJ-AUTO,8599
BAJAJCON,175
BAJAJELEC,684.9
BAJAJFINSV,2011.5
BAJAJHCARE,539
BAJAJHFL,122
BAJAJHIND,24.1
BAJAJHLDNG,13500
BAJAJINDEF,247.95
BAJEL,212
BAJFINANCE,9142
BALAJEE,50
BALAJITELE,80.55
BALAMINES,1444.9
BALAXI,50
BALKRISHNA,20.65
BALKRISIND,2470
BALMLAWRIE,212.85
BALPHARMA,97.2
BALRAMCHIN,588.7
BALUFORGE,700
BANARBEADS,126.99
BANARISUG,4140
BANCOINDIA,570
BANDHANBNK,170
BANG,53.55
BANKA,67.3
BANKBARODA,250.48
BANKINDIA,121.95
BANSALWIRE,361.1
BANSWRAS,147
BARBEQUE,300.4
BASF,5205
BASML,32.27
BATAINDIA,1265.5
BAYERCROP,5675
BBL,2975
BBOX,516.4
BBTC,2011.5
BBTCL,150
BCLIND,41.7
BCONCEPTS,337
BDL,2007
BEARDSELL,29.76
BECTORFOOD,1452
BEDMUTHA,158.11
BEL,385.2
BEML,4225
BEPL,119.74
BERGEPAINT,569
BESTAGRO,333.5
BFINVEST,500.5
BFUTILITIE,744
BGRENERGY,112.05
BHAGCHEM,309.55
BHAGERIA,184.9
BHAGYANGR,77.3
BHANDARI,5.53
BHARATFORG,1239.2
BHARATGEAR,85.6
BHARATRAS,9022
BHARATSE,103.49
BHARATWIRE,182.3
BHARTIARTL,1859.7
BHARTIHEXA,1826
BHEL,260.1
BIGBLOC,66.1
BIKAJI,765
BIL,729.9
BINANIIND,15.1
BIOCON,334.45
BIOFILCHEM,49.7
BIRLACABLE,182
BIRLACORPN,1373
BIRLAMONEY,185.4
BIRLANU,2299
BLACKBUCK,440
BLAL,202.15
BLBLIMITED,14.63
BLISSGVS,131
BLKASHYAP,70.9
BLS,406.85
BLSE,213.5
BLUECOAST,26.09
BLUEDART,6620
BLUEJET,901.5
BLUESTARCO,1527.5
BODALCHEM,74.7
BOHRAIND,34.81
BOMDYEING,153.9
BOROLTD,363
BORORENEW,540.1
BOROSCI,139
BOSCHLTD,31385
BPCL,317.5
BPL,83.05
BRIGADE,1097.1
BRITANNIA,5496
BRNL,23
BROOKS,143.33
BSE,2669
BSHSL,136
BSL,148.38
BSOFT,399.35
BTML,8
BUTTERFLY,768
BVCL,39.46
BYKE,98.11
CALSOFT,10.37
CAMLINFINE,232
CAMPUS,289.01
CAMS,3962
CANBK,114.6
CANFINHOME,786
CANTABIL,235.5
CAPACITE,328.5
CAPITALSFB,296.55
CAPLIPOINT,2155.5
CAPTRUST,95.25
CARBORUNIV,996
CARERATING,1795
CARRARO,456.5
CARTRADE,1558
CARYSIL,829.65
CASTROLIND,215.85
CCCL,20.15
CCHHL,15.8
CCL,892
CDSL,1530.5
CEATLTD,3800
CEIGALL,249.9
CELEBRITY,13.33
CELLO,618.8
CENTENKA,466.1
CENTEXT,20.98
CENTRALBK,39
CENTRUM,34
CENTUM,2511
CENTURYPLY,778
CERA,6351
CEREBRAINT,5.66
CESC,162.94
CEWATER,586.9
CGCL,151.8
CGPOWER,683
CHALET,918
CHAMBLFERT,549
CHEMBOND,243.1
CHEMCON,197.94
CHEMFAB,790
CHEMPLASTS,425
CHENNPETRO,668.65
CHEVIOT,1090
CHOICEIN,701.25
CHOLAFIN,1597.5
CHOLAHLDNG,1889.9
CIEINDIA,450.9
CIFL,36.5
CIGNITITEC,1588
CINELINE,91.6
CINEVISTA,14.4
CIPLA,1463.9
CLEAN,1565
CLEDUCATE,87.66
CLSEL,345.6
CMSINFO,493
COALINDIA,397.4
COASTCORP,39.52
COCHINSHIP,1943.6
COFFEEDAY,31.82
COFORGE,8549
COHANCE,1055
COLPAL,2455
COMPUSOFT,21.51
COMSYN,110.1
CONCOR,778.55
CONCORDBIO,1752
CONFIPET,58.84
CONSOFINVT,197.12
CONTROLPR,717.1
CORALFINAC,46
CORDSCABLE,197.13
COROMANDEL,2285
COSMOFIRST,1182
COUNCODOS,7.57
CPCAP,166.2
CRAFTSMAN,5609.9
CREATIVE,700.05
CREATIVEYE,6.77
CREDITACC,1145.8
CREST,400
CRISIL,5248.9
CROMPTON,352.4
CROWN,168.26
CSBBANK,366.9
CSLFINANCE,320.9
CTE,50.46
CUB,195
CUBEXTUB,94.5
CUMMINSIND,3270
CUPID,108
CURAA,103.95
CYBERMEDIA,15.14
CYBERTECH,155
CYIENT,1342
CYIENTDLM,483
DABUR,483.4
DALBHARAT,2016.8
DALMIASUG,432.2
DAMCAPITAL,268
DAMODARIND,38.35
DANGEE,4.42
DATAMATICS,604.8
DATAPATTNS,2843
DAVANGERE,3.69
DBCORP,250.8
DBEIL,155.8
DBL,492.85
DBOL,75.95
DBREALTY,193
DBSTOCKBRO,29.05
DCAL,266.6
DCBBANK,146.7
DCI,282.05
DCM,102.5
DCMFINSERV,7.05
DCMNVL,183.7
DCMSHRIRAM,1075
DCMSRIND,166
DCW,76.9
DCXINDIA,306
DDEVPLSTIK,274.35
DECCANCE,725.75
DEEDEV,292.8
DEEPAKFERT,1480.4
DEEPAKNTR,2029
DEEPINDS,431.15
DELHIVERY,358.55
DELPHIFX,125.5
DELTACORP,92.49
DELTAMAGNT,82.5
DEN,37.75
DENORA,831
DENTA,279.3
DEVIT,104.7
DEVYANI,167.56
DGCONTENT,42.5
DHAMPURSUG,146.7
DHANBANK,31.69
DHANI,59.6
DHANUKA,1646
DHARMAJ,237
DHRUV,72
DHUNINV,1450
DIACABS,112.8
DIAMINESQ,380.4
DIAMONDYD,1134.4
DICIND,660.1
DIFFNKG,279.11
DIGIDRIVE,33.3
DIGISPICE,20.9
DIGJAMLMTD,39.99
DIL,2.57
DISHTV,6.3
DIVGIITTS,555.5
DIVISLAB,6610
DIXON,14680
DJML,113.02
DLF,796.8
DLINKINDIA,483.75
DMART,4007
DMCC,272.45
DNAMEDIA,5.33
DODLA,1225
DOLATALGO,101.2
DOLLAR,397.8
DOLPHIN,437.95
DOMS,2450
DONEAR,109.29
DPABHUSHAN,1510.1
DPSCLTD,13.31
DPWIRES,264.88
DRCSYSTEMS,18.69
DREAMFOLKS,256
DREDGECORP,808.4
DRREDDY,1251
DSSL,1090
DTIL,186.5
DUCON,6.88
DVL,330
DWARKESH,47.6
DYCL,870
DYNAMATECH,6840
DYNPRO,280
E2E,2866
EASEMYTRIP,11.28
ECLERX,3520
ECOSMOBLTY,284
EDELWEISS,108
EICHERMOT,5354
EIDPARRY,948.95
EIEL,237.85
EIFFL,218.55
EIHAHOTELS,386.5
EIHOTEL,371.3
EIMCOELECO,2405
EKC,131
ELDEHSG,815.15
ELECON,662.95
ELECTCAST,102.66
ELECTHERM,1049.9
ELGIEQUIP,535
ELGIRUBCO,62.5
ELIN,169.35
EMAMILTD,587
EMAMIPAP,98.4
EMAMIREAL,109
EMBDL,111
EMCURE,1330
EMIL,120.69
EMKAY,236.46
EMMBI,112
EMSLIMITED,597.4
EMUDHRA,775.8
ENDURANCE,2424
ENERGYDEV,19.39
ENGINERSIN,227.99
ENIL,149.01
ENTERO,1221.3
EPACK,371.7
EPIGRAL,1775
EPL,247
EQUIPPP,20.24
EQUITASBNK,63.89
ERIS,1575.1
ESABINDIA,5025.1
ESAFSFB,31.1
ESCORTS,3319
ESSARSHPNG,32.88
ESSENTIA,2.31
ESTER,141
ETERNAL,239.75
ETHOSLTD,2843.9
EUREKAFORB,638.3
EUROTEXIND,15.75
EVEREADY,309.4
EVERESTIND,490
EXCEL,0.73
EXCELINDUS,1164
EXICOM,179.33
EXIDEIND,386
EXPLEOSOL,1056
EXXARO,7.98
FACT,880
FAIRCHEMOR,845
FAZE3Q,552
FCL,238.89
FCSSOFT,2.63
FDC,438.7
FEDERALBNK,202.2
FEDFINA,97.57
FEL,0.61
FELDVR,3.54
FIBERWEB,51.01
FIEMIND,1600
FILATEX,57.32
FILATFASH,0.53
FINCABLES,970.15
FINEORG,4677
FINOPB,239.1
FINPIPE,218
FIRSTCRY,347
FIVESTAR,708
FLAIR,277.85
FLEXITUFF,35
FLUOROCHEM,3550
FMGOETZE,447
FMNL,14.2
FOCUS,93.5
FOODSIN,97.7
FORCEMOT,12696
FORTIS,709.9
FOSECOIND,4620
FSC,2.06
FSL,371
FUSION,169.46
GABRIEL,658.9
GAEL,115.8
GAIL,189.8
GALAPREC,905
GALAXYSURF,2310
GALLANTT,460.3
GANDHAR,179.58
GANDHITUBE,696.9
GANECOS,1531
GANESHBE,112.1
GANESHHOUC,1007
GANGAFORGE,4.39
GANGESSECU,161
GARFIBRES,860.05
GARUDA,114.5
GATECH,0.78
GATECHDVR,0.89
GATEWAY,63.93
GAYAHWS,1.18
GEECEE,396.2
GEEKAYWIRE,72
GENCON,37.32
GENESYS,742
GENSOL,60.48
GENUSPAPER,19.93
GENUSPOWER,395.9
GEOJITFSL,84.36
GEPIL,254.5
GESHIP,931
GFLLIMITED,65.94
GHCL,614.5
GHCLTEXTIL,91.51
GICHSGFIN,188.5
GICRE,407.45
GILLANDERS,125.5
GILLETTE,9423
GINNIFILA,38.5
GIPCL,196
GKWLIMITED,2098
GLAND,1582.5
GLAXO,3298
GLENMARK,1461
GLFL,4.16
GLOBAL,60.35
GLOBALE,16
GLOBALVECT,242.4
GLOBE,2.41
GLOBUSSPR,949.9
GLOSTERLTD,619
GMBREW,701
GMDCLTD,358
GMMPFAUDLR,1132
GMRAIRPORT,84.01
GMRP&UI,113.9
GNA,342.5
GNFC,535.8
GOACARBON,487.5
GOCLCORP,304
GOCOLORS,842
GODAVARIB,283
GODFRYPHLP,8702.5
GODHA,0.52
GODIGIT,342.6
GODREJAGRO,753.8
GODREJCP,1231.2
GODREJIND,1192
GODREJPROP,2235.7
GOENKA,0.86
GOKEX,980.05
GOKUL,49.25
GOKULAGRO,246
GOLDENTOBC,36.09
GOLDIAM,378
GOLDTECH,69.5
GOODLUCK,940
GOPAL,340.05
GOYALALUM,8.24
GPIL,192
GPPL,156.38
GPTHEALTH,153
GPTINFRA,140.3
GRANULES,529.9
GRAPHITE,543.65
GRASIM,2536
GRAVITA,1839.5
GREAVESCOT,199.24
GREENLAM,262.8
GREENPANEL,255
GREENPLY,323.9
GREENPOWER,13.05
GRINDWELL,1785
GRINFRA,1280
GRMOVER,300
GROBTEA,998
GRPLTD,2850
GRSE,2999
GRWRHITECH,4650
GSFC,199.5
GSLSU,128.5
GSPL,328
GSS,34.95
GTECJAINX,26.2
GTL,8.7
GTLINFRA,1.5
GTPL,112.95
GUFICBIO,389.05
GUJALKALI,578.5
GUJAPOLLO,344.1
GUJGASLTD,460
GUJRAFFIA,38.55
GUJTHEM,307.1
GULFOILLUB,1181.7
GULFPETRO,50.43
GULPOLY,184.7
GVKPIL,4.36
GVPTECH,9.95
GVT&D,2234.8
HAL,4965.2
HAPPSTMNDS,593.8
HAPPYFORGE,971
HARDWYN,14.02
HARIOMPIPE,389.1
HARRMALAYA,206.25
HARSHA,395
HATHWAY,15.97
HATSUN,967
HAVELLS,1525.6
HAVISHA,2.02
HBLENGINE,598.35
HBSL,78.7
HCC,33.74
HCG,540
HCL-INSYS,17.68
HCLTECH,1631.5
HDFCAMC,4783
HDFCBANK,1941.5
HDFCLIFE,776.25
HEADSUP,10.3
HECPROJECT,137.5
HEG,522.5
HEIDELBERG,197.8
HEMIPROP,132.52
HERANBA,293.9
HERCULES,164.2
HERITGFOOD,403.8
HEROMOTOCO,4310.1
HESTERBIO,1782.2
HEUBACHIND,586
HEXATRADEX,184.55
HEXT,858
HFCL,87.49
HGINFRA,1119
HGS,512.2
HIKAL,372.75
HILTON,77.5
HIMATSEIDE,150.59
HINDALCO,633.7
HINDCOMPOS,510
HINDCON,36.7
HINDCOPPER,247
HINDMOTORS,33.79
HINDNATGLS,16.36
HINDOILEXP,174.8
HINDPETRO,409.8
HINDUNILVR,2346
HINDWAREAP,270
HINDZINC,457.2
HIRECT,1280
HISARMETAL,197.5
HITECH,95.5
HITECHCORP,185.95
HITECHGEAR,617.95
HLEGLAS,426.5
HLVLTD,13.8
HMAAGRO,36.25
HMT,59.17
HMVL,89
HNDFDS,547
HOMEFIRST,1273
HONASA,312
HONAUT,38505
HONDAPOWER,2910
HOVS,60.96
HPAL,51.4
HPIL,138.1
HPL,572
HSCL,469.5
HTMEDIA,19.52
HUBTOWN,178.04
HUDCO,241.45
HUHTAMAKI,204.8
HYBRIDFIN,12.35
HYUNDAI,1844.9
ICDSLTD,54.2
ICEMAKE,840
ICICIBANK,1446.1
ICICIGI,1872
ICICIPRULI,661.25
ICIL,293
ICRA,6675
IDBI,96.63
IDEA,6.91
IDEAFORGE,530.4
IDFCFIRSTB,68.1
IEL,19.21
IEX,199.92
IFBAGRO,710
IFBIND,1390.3
IFCI,67
IFGLEXPOR,525
IGARASHI,481.4
IGIL,389.35
IGL,206.9
IGPL,460.5
IIFL,432.5
IIFLCAPS,305.5
IITL,171
IKIO,219.9
IKS,1511.1
IL&FSENGG,37.99
IL&FSTRANS,3.3
IMAGICAA,67.26
IMFA,615.1
IMPAL,1057
IMPEXFERRO,2.15
INCREDIBLE,45.77
INDBANK,35.21
INDGN,597.7
INDHOTEL,768.85
INDIACEM,312.8
INDIAGLYCO,1885
INDIAMART,2328
INDIANB,614
INDIANCARD,340
INDIANHUME,426.15
INDIASHLTR,875
INDIGO,5325
INDIGOPNTS,1079.15
INDNIPPON,718.4
INDOAMIN,144
INDOBORAX,187.38
INDOCO,250.1
INDOFARM,164.68
INDORAMA,45.5
INDOSTAR,342
INDOTECH,1958
INDOTHAI,1900
INDOUS,169.3
INDOWIND,21.1
INDRAMEDCO,440
INDSWFTLAB,82.5
INDSWFTLTD,15.87
INDTERRAIN,42.02
INDUSINDBK,818.45
INDUSTOWER,382.25
INFIBEAM,21.78
INFOBEAN,356.7
INFOMEDIA,6.3
INFY,1561.9
INGERRAND,3899
INNOVACAP,873
INNOVANA,351.1
INOXGREEN,183.5
INOXINDIA,1195
INOXWIND,195
INSECTICID,840
INSPIRISYS,105.25
INTELLECT,1168.8
INTENTECH,95.75
INTERARCH,2223
INTLCONV,82.5
INVENTURE,1.63
IOB,39.84
IOC,141.98
IOLCP,87.71
IONEXCHANG,546
IPCALAB,1427.9
IPL,207.75
IRB,51.2
IRCON,190.35
IRCTC,757
IREDA,175.04
IRFC,138.9
IRIS,259.95
IRISDOREME,60.4
IRMENERGY,284.9
ISFT,114.85
ISGEC,1215
ISHANCH,39.51
ITC,418.75
ITCHOTELS,216.59
ITDC,620
ITDCEM,716
ITI,346.6
IVC,9.44
IVP,180.5
IWEL,11560
IXIGO,174.1
IZMO,310.05
J&KBANK,103.65
JAGRAN,76.74
JAGSNPHARM,237.88
JAIBALAJI,104.9
JAICORPLTD,112.3
JAIPURKURT,42.44
JAMNAAUTO,91.92
JASH,552.05
JAYAGROGN,263
JAYBARMARU,77.49
JAYNECOIND,40.35
JAYSREETEA,104.9
JBCHEPHARM,1684
JBMA,716.5
JCHAC,1675
JETFREIGHT,14.93
JGCHEM,376.45
JHS,13.56
JINDALPHOT,859.85
JINDALPOLY,636.3
JINDALSAW,211.8
JINDALSTEL,947.45
JINDRILL,648
JINDWORLD,60.69
JIOFIN,286.2
JISLDVREQS,30.25
JISLJALEQS,57.07
JITFINFRA,386.55
JKCEMENT,5464.5
JKIL,706.7
JKLAKSHMI,846.7
JKPAPER,365.5
JKTYRE,374.55
JLHL,1451
JMA,98.5
JMFINANCIL,127.75
JNKINDIA,354.55
JOCIL,162.1
JPOLYINVST,836
JPPOWER,15.58
JSFB,484.45
JSL,641.8
JSWENERGY,488.45
JSWHL,22900
JSWINFRA,289.95
JSWSTEEL,994
JTEKTINDIA,138.76
JTLIND,67.7
JUBLCPL,1561
JUBLFOOD,656
JUBLINGREA,702
JUBLPHARMA,1166
JUNIPER,307
JUSTDIAL,888.8
JWL,396
JYOTHYLAB,345
JYOTICNC,1292.7
JYOTISTRUC,20.18
KABRAEXTRU,265
KAJARIACER,1040
KAKATCEM,154.55
KALAMANDIR,127.35
KALYANI,119.3
KALYANIFRG,744.45
KALYANKJIL,560
KAMATHOTEL,239.5
KAMDHENU,34.14
KAMOPAINTS,11.65
KANANIIND,2.18
KANORICHEM,94.15
KANPRPLA,243.9
KANSAINER,254.5
KAPSTON,250
KARMAENG,61.45
KARURVYSYA,222
KAUSHALYA,903
KAVVERITEL,49.48
KAYA,335
KAYNES,5968
KBCGLOBAL,0.37
KCP,211
KCPSUGIND,36.83
KDDL,2673.5
KEC,830.75
KECL,128.1
KEEPLEARN,3.81
KEI,3606
KELLTONTEC,128.05
KERNEX,1163.75
KESORAMIND,5.78
KEYFINSERV,307.75
KFINTECH,1075.5
KHADIM,296.05
KHAICHEM,78.85
KHAITANLTD,140.67
KHANDSE,23.02
KICL,5007
KILITCH,443
KIMS,682
KINGFA,3480
KIOCL,301.35
KIRIINDUS,643.9
KIRLOSBROS,1820
KIRLOSENG,906.5
KIRLOSIND,3710.6
KITEX,297
KKCL,437.7
KMEW,1542.1
KMSUGAR,29.3
KNRCON,211.35
KOHINOOR,37.52
KOKUYOCMLN,109.87
KOLTEPATIL,406.15
KOPRAN,183
KOTAKBANK,2077.3
KOTARISUG,38.59
KOTHARIPET,164
KOTHARIPRO,84.96
KPEL,557
KPIGREEN,486.7
KPIL,1145
KPITTECH,1334.9
KPRMILL,1123.6
KRBL,351.9
KREBSBIO,75
KRIDHANINF,4.11
KRISHANA,373.75
KRITI,142.15
KRITIKA,10.03
KRITINUT,112.02
KRN,767
KRONOX,172.5
KROSS,174.5
KRSNAA,639.1
KRYSTAL,613
KSB,848
KSCL,1437.2
KSHITIJPOL,3.27
KSL,789.2
KSOLVES,330.3
KTKBANK,198.1
KUANTUM,113.65
